File Number,Left Bound,Right Bound,Top Bound,Bottom Bound,Url DSM,Url DTM
1,145000.0,162000.0,247000.0,238000.0,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dsm-raster-1m/DHMVIIDSMRAS1m_k01.zip!/GeoTIFF/DHMVIIDSMRAS1m_k01.tif,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k01.zip!/GeoTIFF/DHMVIIDTMRAS1m_k01.tif
2,162000.0,194000.0,250000.0,238000.0,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dsm-raster-1m/DHMVIIDSMRAS1m_k02.zip!/GeoTIFF/DHMVIIDSMRAS1m_k02.tif,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k02.zip!/GeoTIFF/DHMVIIDTMRAS1m_k02.tif
3,194000.0,206000.0,248000.0,238000.0,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dsm-raster-1m/DHMVIIDSMRAS1m_k03.zip!/GeoTIFF/DHMVIIDSMRAS1m_k03.tif,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k03.zip!/GeoTIFF/DHMVIIDTMRAS1m_k03.tif
4,53000.0,66000.0,225500.0,218000.0,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dsm-raster-1m/DHMVIIDSMRAS1m_k04.zip!/GeoTIFF/DHMVIIDSMRAS1m_k04.tif,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k04.zip!/GeoTIFF/DHMVIIDTMRAS1m_k04.tif
5,66000.0,98000.0,232000.0,218000.0,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dsm-raster-1m/DHMVIIDSMRAS1m_k05.zip!/GeoTIFF/DHMVIIDSMRAS1m_k05.tif,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k05.zip!/GeoTIFF/DHMVIIDTMRAS1m_k05.tif
6,98000.0,130000.0,227000.0,218000.0,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dsm-raster-1m/DHMVIIDSMRAS1m_k06.zip!/GeoTIFF/DHMVIIDSMRAS1m_k06.tif,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k06.zip!/GeoTIFF/DHMVIIDTMRAS1m_k06.tif
7,130000.0,162000.0,238000.0,218000.0,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dsm-raster-1m/DHMVIIDSMRAS1m_k07.zip!/GeoTIFF/DHMVIIDSMRAS1m_k07.tif,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k07.zip!/GeoTIFF/DHMVIIDTMRAS1m_k07.tif
8,162000.0,194000.0,238000.0,218000.0,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dsm-raster-1m/DHMVIIDSMRAS1m_k08.zip!/GeoTIFF/DHMVIIDSMRAS1m_k08.tif,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k08.zip!/GeoTIFF/DHMVIIDTMRAS1m_k08.tif
9,194000.0,226000.0,238000.0,218000.0,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dsm-raster-1m/DHMVIIDSMRAS1m_k09.zip!/GeoTIFF/DHMVIIDSMRAS1m_k09.tif,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k09.zip!/GeoTIFF/DHMVIIDTMRAS1m_k09.tif
10,226000.0,238000.0,227000.0,218000.0,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dsm-raster-1m/DHMVIIDSMRAS1m_k10.zip!/GeoTIFF/DHMVIIDSMRAS1m_k10.tif,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k10.zip!/GeoTIFF/DHMVIIDTMRAS1m_k10.tif
